f_18, P_18, P_fit, P_estimated, P_input, P_noise,
4.440088185826628120e+00 1.365577018018906226e-03 1.491452485564935797e-03 1.356441646369095080e-03 1.338268507407006916e-03 1.350108391958407988e-04
4.489976817128051856e+00 1.180008282953769975e-03 1.331138792207161572e-03 1.196201649417931358e-03 1.182080282686998876e-03 1.349371427892302137e-04
4.539865448429473815e+00 1.024788607786028972e-03 1.188273386196986824e-03 1.053410539774581652e-03 1.042673882757051739e-03 1.348628464224051443e-04
4.589754079730897551e+00 8.963911088914152704e-04 1.061150321173261451e-03 9.263623644086243884e-04 9.184337282675286056e-04 1.347879567646370082e-04
4.639642711032319511e+00 7.910704016656199813e-04 9.482060542642821357e-04 8.134935737446733926e-04 8.078764715993050870e-04 1.347124805196087431e-04
4.689531342333742359e+00 7.052371108451165570e-04 8.480105140856738317e-04 7.133740896612863341e-04 7.096429664923759517e-04 1.346364244243874976e-04
4.739419973635165206e+00 6.356612780567532251e-04 7.592583726712839832e-04 6.246985774228851424e-04 6.224903914868259872e-04 1.345597952483988408e-04
4.789308604936588054e+00 5.795474862402118579e-04 6.807605653837991121e-04 5.462779655913970562e-04 5.452845700847218802e-04 1.344825997924020016e-04
4.839197236238010902e+00 5.345278191897742020e-04 6.114360951804362647e-04 4.770312502929686363e-04 4.769925235657501922e-04 1.344048448874676012e-04
4.889085867539433750e+00 4.986083516604155165e-04 5.503041504984999962e-04 4.159776131045432005e-04 4.166752858879867096e-04 1.343265373939567687e-04
4.938974498840856597e+00 4.700923616741206905e-04 4.964765594908318461e-04 3.622288752903285816e-04 3.634810040960430831e-04 1.342476842005032374e-04
4.988863130142279445e+00 4.474939116514455571e-04 4.491505973874774247e-04 3.149823051644800578e-04 3.166383421515367035e-04 1.341682922229973940e-04
5.038751761443702293e+00 4.294504630969766764e-04 4.076021583842573339e-04 2.735137899806837553e-04 2.754502010970107887e-04 1.340883684035735785e-04
5.088640392745125141e+00 4.146431400015132248e-04 3.711792986512006307e-04 2.371713789416002088e-04 2.392877639590465239e-04 1.340079197096004219e-04
5.138529024046547100e+00 4.017379196534740806e-04 3.392961527976944718e-04 2.053691996650201183e-04 2.075848697786958407e-04 1.339269531326743535e-04
5.188417655347970836e+00 3.893686129449757706e-04 3.114272224052843730e-04 1.775817467176677941e-04 1.798327176116256624e-04 1.338454756876165789e-04
5.238306286649393684e+00 3.761873467556497964e-04 2.871020320177951161e-04 1.533385376063208308e-04 1.555748982467830370e-04 1.337634944114742582e-04
