Depth	Density	sigma_D	sigma_o18	sigma_o17
95.00	812.434	0.058147	0.064856	0.065698
95.50	813.500	0.058071	0.064771	0.065612
96.00	814.557	0.057996	0.064687	0.065527
96.50	815.604	0.057921	0.064604	0.065443
97.00	816.642	0.057848	0.064521	0.065360
97.50	817.670	0.057775	0.064440	0.065277
98.00	818.690	0.057703	0.064360	0.065196
98.50	819.700	0.057632	0.064281	0.065116
99.00	820.701	0.057562	0.064202	0.065036
99.50	821.692	0.057492	0.064125	0.064958
100.00	822.675	0.057423	0.064048	0.064880
100.50	823.649	0.057356	0.063973	0.064804
101.00	824.614	0.057288	0.063898	0.064728
101.50	825.570	0.057222	0.063824	0.064653
102.00	826.517	0.057157	0.063751	0.064579
102.50	827.455	0.057092	0.063678	0.064506
103.00	828.385	0.057028	0.063607	0.064433
103.50	829.306	0.056964	0.063536	0.064362
104.00	830.219	0.056902	0.063466	0.064291
104.50	831.123	0.056840	0.063397	0.064221
105.00	832.018	0.056779	0.063329	0.064152
105.50	832.906	0.056718	0.063262	0.064083
106.00	833.784	0.056658	0.063195	0.064016
106.50	834.655	0.056599	0.063129	0.063949
107.00	835.517	0.056541	0.063064	0.063883
107.50	836.372	0.056483	0.062999	0.063818
108.00	837.218	0.056426	0.062936	0.063753
108.50	838.056	0.056370	0.062873	0.063690
109.00	838.886	0.056314	0.062811	0.063627
109.50	839.708	0.056259	0.062749	0.063564
110.00	840.522	0.056204	0.062688	0.063503
110.50	841.329	0.056150	0.062628	0.063442
111.00	842.127	0.056097	0.062569	0.063382
111.50	842.918	0.056044	0.062510	0.063322
112.00	843.702	0.055992	0.062452	0.063263
112.50	844.478	0.055941	0.062395	0.063205
113.00	845.246	0.055890	0.062338	0.063148
113.50	846.007	0.055840	0.062282	0.063091
114.00	846.760	0.055790	0.062226	0.063035
114.50	847.507	0.055741	0.062172	0.062979
115.00	848.245	0.055692	0.062118	0.062925
115.50	848.977	0.055644	0.062064	0.062870
116.00	849.701	0.055597	0.062011	0.062817
116.50	850.419	0.055550	0.061959	0.062764
117.00	851.129	0.055504	0.061907	0.062711
117.50	851.832	0.055458	0.061856	0.062660
118.00	852.529	0.055413	0.061805	0.062608
118.50	853.218	0.055368	0.061755	0.062558
119.00	853.901	0.055324	0.061706	0.062508
119.50	854.577	0.055280	0.061657	0.062458
120.00	855.246	0.055237	0.061609	0.062410
120.50	855.908	0.055194	0.061561	0.062361
121.00	856.564	0.055152	0.061514	0.062313
121.50	857.214	0.055110	0.061468	0.062266
122.00	857.856	0.055068	0.061422	0.062220
122.50	858.493	0.055028	0.061376	0.062173
123.00	859.123	0.054987	0.061331	0.062128
123.50	859.747	0.054947	0.061287	0.062083
124.00	860.364	0.054908	0.061243	0.062038
124.50	860.975	0.054869	0.061199	0.061994
125.00	861.580	0.054830	0.061156	0.061951
125.50	862.179	0.054792	0.061114	0.061908
126.00	862.772	0.054755	0.061072	0.061865
126.50	863.359	0.054718	0.061030	0.061823
127.00	863.940	0.054681	0.060989	0.061781
127.50	864.515	0.054644	0.060949	0.061740
128.00	865.084	0.054608	0.060908	0.061700
128.50	865.647	0.054573	0.060869	0.061660
129.00	866.204	0.054538	0.060830	0.061620
129.50	866.756	0.054503	0.060791	0.061581
130.00	867.303	0.054469	0.060753	0.061542
130.50	867.843	0.054435	0.060715	0.061504
131.00	868.378	0.054401	0.060677	0.061466
131.50	868.908	0.054368	0.060640	0.061428
132.00	869.432	0.054335	0.060604	0.061391
132.50	869.950	0.054303	0.060568	0.061355
133.00	870.464	0.054271	0.060532	0.061318
133.50	870.972	0.054239	0.060497	0.061283
134.00	871.475	0.054208	0.060462	0.061247
134.50	871.972	0.054177	0.060427	0.061212
135.00	872.465	0.054146	0.060393	0.061178
135.50	872.952	0.054116	0.060359	0.061144
136.00	873.434	0.054086	0.060326	0.061110
136.50	873.911	0.054057	0.060293	0.061077
137.00	874.383	0.054028	0.060261	0.061044
137.50	874.851	0.053999	0.060228	0.061011
138.00	875.313	0.053970	0.060197	0.060979
138.50	875.771	0.053942	0.060165	0.060947
139.00	876.224	0.053914	0.060134	0.060915
139.50	876.672	0.053887	0.060103	0.060884
140.00	877.115	0.053859	0.060073	0.060853
140.50	877.554	0.053832	0.060043	0.060823
141.00	877.988	0.053806	0.060013	0.060793
141.50	878.417	0.053779	0.059984	0.060763
142.00	878.842	0.053753	0.059955	0.060734
142.50	879.263	0.053728	0.059926	0.060705
143.00	879.679	0.053702	0.059898	0.060676
143.50	880.091	0.053677	0.059870	0.060648
144.00	880.498	0.053652	0.059842	0.060620
144.50	880.901	0.053628	0.059815	0.060592
145.00	881.300	0.053604	0.059788	0.060565
145.50	881.694	0.053580	0.059761	0.060537
146.00	882.085	0.053556	0.059735	0.060511
146.50	882.471	0.053532	0.059708	0.060484
147.00	882.853	0.053509	0.059683	0.060458
147.50	883.231	0.053486	0.059657	0.060432
148.00	883.605	0.053464	0.059632	0.060407
148.50	883.975	0.053441	0.059607	0.060381
149.00	884.341	0.053419	0.059582	0.060356
149.50	884.703	0.053397	0.059558	0.060332
150.00	885.061	0.053376	0.059534	0.060307
150.50	885.416	0.053354	0.059510	0.060283
151.00	885.767	0.053333	0.059486	0.060259
151.50	886.113	0.053312	0.059463	0.060235
152.00	886.457	0.053292	0.059440	0.060212
152.50	886.796	0.053271	0.059417	0.060189
153.00	887.132	0.053251	0.059395	0.060166
153.50	887.464	0.053231	0.059372	0.060144
154.00	887.793	0.053212	0.059350	0.060122
154.50	888.118	0.053192	0.059329	0.060100
155.00	888.440	0.053173	0.059307	0.060078
155.50	888.758	0.053154	0.059286	0.060056
156.00	889.073	0.053135	0.059265	0.060035
156.50	889.384	0.053116	0.059244	0.060014
157.00	889.692	0.053098	0.059224	0.059993
157.50	889.996	0.053080	0.059204	0.059973
158.00	890.298	0.053062	0.059183	0.059952
158.50	890.596	0.053044	0.059164	0.059932
159.00	890.891	0.053027	0.059144	0.059912
159.50	891.182	0.053009	0.059125	0.059893
160.00	891.471	0.052992	0.059106	0.059874
160.50	891.756	0.052975	0.059087	0.059854
161.00	892.038	0.052958	0.059068	0.059835
161.50	892.318	0.052942	0.059049	0.059817
162.00	892.594	0.052925	0.059031	0.059798
162.50	892.867	0.052909	0.059013	0.059780
163.00	893.137	0.052893	0.058995	0.059762
163.50	893.404	0.052877	0.058978	0.059744
164.00	893.669	0.052862	0.058960	0.059726
164.50	893.930	0.052846	0.058943	0.059709
165.00	894.188	0.052831	0.058926	0.059692
165.50	894.444	0.052816	0.058909	0.059674
166.00	894.697	0.052801	0.058892	0.059658
166.50	894.947	0.052786	0.058876	0.059641
167.00	895.195	0.052772	0.058860	0.059624
167.50	895.440	0.052757	0.058844	0.059608
168.00	895.682	0.052743	0.058828	0.059592
168.50	895.921	0.052729	0.058812	0.059576
169.00	896.158	0.052715	0.058796	0.059560
169.50	896.392	0.052701	0.058781	0.059545
170.00	896.624	0.052687	0.058766	0.059529
170.50	896.853	0.052674	0.058751	0.059514
171.00	897.079	0.052661	0.058736	0.059499
171.50	897.303	0.052648	0.058721	0.059484
172.00	897.525	0.052635	0.058707	0.059470
172.50	897.744	0.052622	0.058693	0.059455
173.00	897.961	0.052609	0.058678	0.059441
173.50	898.175	0.052596	0.058664	0.059427
174.00	898.387	0.052584	0.058651	0.059413
174.50	898.597	0.052572	0.058637	0.059399
175.00	898.804	0.052560	0.058623	0.059385
175.50	899.009	0.052548	0.058610	0.059371
176.00	899.212	0.052536	0.058597	0.059358
176.50	899.412	0.052524	0.058584	0.059345
177.00	899.611	0.052513	0.058571	0.059332
177.50	899.807	0.052501	0.058558	0.059319
178.00	900.001	0.052490	0.058545	0.059306
178.50	900.192	0.052479	0.058533	0.059293
179.00	900.382	0.052468	0.058521	0.059281
179.50	900.570	0.052457	0.058508	0.059269
180.00	900.755	0.052446	0.058496	0.059256
180.50	900.939	0.052435	0.058484	0.059244
181.00	901.120	0.052425	0.058473	0.059232
181.50	901.299	0.052414	0.058461	0.059221
182.00	901.477	0.052404	0.058450	0.059209
182.50	901.652	0.052394	0.058438	0.059197
183.00	901.826	0.052384	0.058427	0.059186
183.50	901.997	0.052374	0.058416	0.059175
184.00	902.167	0.052364	0.058405	0.059164
184.50	902.335	0.052354	0.058394	0.059153
185.00	902.501	0.052344	0.058383	0.059142
185.50	902.665	0.052335	0.058373	0.059131
186.00	902.827	0.052325	0.058362	0.059120
186.50	902.987	0.052316	0.058352	0.059110
187.00	903.146	0.052307	0.058342	0.059100
187.50	903.303	0.052298	0.058331	0.059089
188.00	903.458	0.052289	0.058321	0.059079
188.50	903.611	0.052280	0.058311	0.059069
189.00	903.763	0.052271	0.058302	0.059059
189.50	903.913	0.052263	0.058292	0.059049
190.00	904.061	0.052254	0.058282	0.059040
190.50	904.208	0.052246	0.058273	0.059030
191.00	904.353	0.052237	0.058264	0.059021
191.50	904.496	0.052229	0.058254	0.059011
192.00	904.638	0.052221	0.058245	0.059002
192.50	904.778	0.052213	0.058236	0.058993
193.00	904.917	0.052205	0.058227	0.058984
193.50	905.054	0.052197	0.058219	0.058975
194.00	905.189	0.052189	0.058210	0.058966
194.50	905.323	0.052181	0.058201	0.058957
195.00	905.456	0.052174	0.058193	0.058949
195.50	905.587	0.052166	0.058184	0.058940
196.00	905.717	0.052159	0.058176	0.058932
196.50	905.845	0.052151	0.058168	0.058923
197.00	905.971	0.052144	0.058160	0.058915
197.50	906.097	0.052137	0.058152	0.058907
198.00	906.220	0.052130	0.058144	0.058899
198.50	906.343	0.052122	0.058136	0.058891
199.00	906.464	0.052116	0.058128	0.058883
199.50	906.584	0.052109	0.058120	0.058875
200.00	906.702	0.052102	0.058113	0.058868
200.50	906.819	0.052095	0.058105	0.058860
201.00	906.935	0.052088	0.058098	0.058853
201.50	907.049	0.052082	0.058090	0.058845
202.00	907.162	0.052075	0.058083	0.058838
202.50	907.274	0.052069	0.058076	0.058831
203.00	907.385	0.052063	0.058069	0.058823
203.50	907.494	0.052056	0.058062	0.058816
204.00	907.602	0.052050	0.058055	0.058809
204.50	907.709	0.052044	0.058048	0.058802
205.00	907.815	0.052038	0.058041	0.058796
205.50	907.920	0.052032	0.058035	0.058789
206.00	908.023	0.052026	0.058028	0.058782
206.50	908.125	0.052020	0.058022	0.058775
207.00	908.226	0.052014	0.058015	0.058769
207.50	908.326	0.052009	0.058009	0.058762
208.00	908.425	0.052003	0.058002	0.058756
208.50	908.522	0.051997	0.057996	0.058750
209.00	908.619	0.051992	0.057990	0.058744
209.50	908.714	0.051986	0.057984	0.058737
210.00	908.809	0.051981	0.057978	0.058731
210.50	908.902	0.051976	0.057972	0.058725
211.00	908.994	0.051970	0.057966	0.058719
211.50	909.086	0.051965	0.057960	0.058713
212.00	909.176	0.051960	0.057955	0.058708
212.50	909.265	0.051955	0.057949	0.058702
213.00	909.353	0.051950	0.057943	0.058696
213.50	909.440	0.051945	0.057938	0.058690
214.00	909.526	0.051940	0.057932	0.058685
214.50	909.612	0.051935	0.057927	0.058679
215.00	909.696	0.051930	0.057921	0.058674
215.50	909.779	0.051926	0.057916	0.058669
216.00	909.862	0.051921	0.057911	0.058663
216.50	909.943	0.051916	0.057906	0.058658
217.00	910.023	0.051912	0.057901	0.058653
217.50	910.103	0.051907	0.057896	0.058648
218.00	910.182	0.051903	0.057891	0.058643
218.50	910.260	0.051898	0.057886	0.058638
219.00	910.336	0.051894	0.057881	0.058633
219.50	910.412	0.051889	0.057876	0.058628
220.00	910.488	0.051885	0.057871	0.058623
220.50	910.562	0.051881	0.057866	0.058618
221.00	910.635	0.051877	0.057862	0.058613
221.50	910.708	0.051873	0.057857	0.058609
222.00	910.780	0.051869	0.057853	0.058604
222.50	910.851	0.051865	0.057848	0.058600
223.00	910.921	0.051861	0.057844	0.058595
