Depth	Density	sigma_D	sigma_o18	sigma_o17
228.00	916.214	0.078116	0.084416	0.085397
228.50	916.226	0.078115	0.084415	0.085396
229.00	916.238	0.078114	0.084414	0.085395
229.50	916.250	0.078113	0.084413	0.085394
230.00	916.261	0.078112	0.084412	0.085392
230.50	916.273	0.078111	0.084411	0.085391
231.00	916.284	0.078110	0.084410	0.085390
231.50	916.295	0.078109	0.084409	0.085389
232.00	916.306	0.078108	0.084408	0.085388
232.50	916.316	0.078107	0.084407	0.085387
233.00	916.327	0.078106	0.084406	0.085386
233.50	916.337	0.078105	0.084405	0.085385
234.00	916.347	0.078105	0.084404	0.085384
234.50	916.357	0.078104	0.084403	0.085383
235.00	916.367	0.078103	0.084402	0.085383
235.50	916.377	0.078102	0.084401	0.085382
236.00	916.386	0.078101	0.084400	0.085381
236.50	916.396	0.078100	0.084400	0.085380
237.00	916.405	0.078100	0.084399	0.085379
237.50	916.414	0.078099	0.084398	0.085378
238.00	916.423	0.078098	0.084397	0.085377
238.50	916.432	0.078097	0.084396	0.085377
239.00	916.441	0.078097	0.084395	0.085376
239.50	916.449	0.078096	0.084395	0.085375
240.00	916.458	0.078095	0.084394	0.085374
240.50	916.466	0.078094	0.084393	0.085373
241.00	916.474	0.078094	0.084392	0.085373
241.50	916.483	0.078093	0.084392	0.085372
242.00	916.490	0.078092	0.084391	0.085371
242.50	916.498	0.078092	0.084390	0.085370
243.00	916.506	0.078091	0.084389	0.085370
243.50	916.514	0.078090	0.084389	0.085369
244.00	916.521	0.078090	0.084388	0.085368
244.50	916.528	0.078089	0.084387	0.085368
245.00	916.536	0.078089	0.084387	0.085367
245.50	916.543	0.078088	0.084386	0.085366
246.00	916.550	0.078087	0.084385	0.085366
246.50	916.557	0.078087	0.084385	0.085365
247.00	916.564	0.078086	0.084384	0.085364
247.50	916.570	0.078086	0.084384	0.085364
248.00	916.577	0.078085	0.084383	0.085363
248.50	916.583	0.078085	0.084382	0.085362
249.00	916.590	0.078084	0.084382	0.085362
249.50	916.596	0.078083	0.084381	0.085361
250.00	916.602	0.078083	0.084381	0.085361
250.50	916.608	0.078082	0.084380	0.085360
251.00	916.614	0.078082	0.084379	0.085360
251.50	916.620	0.078081	0.084379	0.085359
252.00	916.626	0.078081	0.084378	0.085358
252.50	916.632	0.078080	0.084378	0.085358
253.00	916.638	0.078080	0.084377	0.085357
253.50	916.643	0.078079	0.084377	0.085357
254.00	916.649	0.078079	0.084376	0.085356
254.50	916.654	0.078078	0.084376	0.085356
255.00	916.659	0.078078	0.084375	0.085355
255.50	916.665	0.078078	0.084375	0.085355
256.00	916.670	0.078077	0.084374	0.085354
256.50	916.675	0.078077	0.084374	0.085354
257.00	916.680	0.078076	0.084373	0.085353
257.50	916.685	0.078076	0.084373	0.085353
258.00	916.690	0.078075	0.084373	0.085353
258.50	916.694	0.078075	0.084372	0.085352
259.00	916.699	0.078075	0.084372	0.085352
