f_18, P_18, f_D, P_D
4.340310923223783313e+00,7.898516181272146122e-03,4.340310923223783313e+00,1.207085468761805780e+00
4.390199554525206160e+00,7.482767568691700913e-03,4.390199554525206160e+00,1.152924305707947683e+00
4.440088185826628120e+00,7.021261928154981687e-03,4.440088185826628120e+00,1.084417601295422084e+00
4.489976817128051856e+00,6.530017213856539188e-03,4.489976817128051856e+00,1.008769935235041881e+00
4.539865448429473815e+00,6.026338439093134255e-03,4.539865448429473815e+00,9.324571631514337877e-01
4.589754079730897551e+00,5.526362249313010282e-03,4.589754079730897551e+00,8.600786322154355679e-01
4.639642711032319511e+00,5.043356388561888101e-03,4.639642711032319511e+00,7.941567943164938859e-01
4.689531342333742359e+00,4.586933758377294626e-03,4.689531342333742359e+00,7.354936286433902959e-01
4.739419973635165206e+00,4.163045200750868820e-03,4.739419973635165206e+00,6.836909962926637219e-01
4.789308604936588054e+00,3.774474503971956933e-03,4.789308604936588054e+00,6.376217557444137096e-01
4.839197236238010902e+00,3.421558694736440576e-03,4.839197236238010902e+00,5.957969839047673188e-01
4.889085867539433750e+00,3.102930915256037897e-03,4.889085867539433750e+00,5.566536448672690929e-01
4.938974498840856597e+00,2.816171707644232833e-03,4.938974498840856597e+00,5.188001771480694746e-01
4.988863130142279445e+00,2.558324449402260038e-03,4.988863130142279445e+00,4.812310262290799834e-01
5.038751761443702293e+00,2.326273412393082586e-03,5.038751761443702293e+00,4.434814350688221496e-01
5.088640392745125141e+00,2.117002824071670050e-03,5.088640392745125141e+00,4.056712197261894137e-01
5.138529024046547100e+00,1.927760563236032617e-03,5.138529024046547100e+00,3.684059470719341367e-01
5.188417655347970836e+00,1.756148052487563902e-03,5.188417655347970836e+00,3.325613600722607810e-01
5.238306286649393684e+00,1.600153586713488549e-03,5.238306286649393684e+00,2.990311562910025200e-01
5.288194917950815643e+00,1.458142617444587157e-03,5.288194917950815643e+00,2.685266790809148763e-01
5.338083549252238491e+00,1.328816482295294005e-03,5.338083549252238491e+00,2.414772205544933603e-01
5.387972180553662227e+00,1.211150526942920752e-03,5.387972180553662227e+00,2.180266115319937914e-01
5.437860811855085075e+00,1.104322560215881092e-03,5.437860811855085075e+00,1.980896282609221626e-01
5.487749443156507034e+00,1.007642009467594026e-03,5.487749443156507034e+00,1.814280980403961963e-01
5.537638074457929882e+00,9.204883193643870545e-04,5.537638074457929882e+00,1.677193413662748378e-01
5.587526705759353618e+00,8.422640990479241712e-04,5.587526705759353618e+00,1.566046552531375480e-01
5.637415337060775578e+00,7.723649374828409162e-04,5.637415337060775578e+00,1.477158670735677914e-01
5.687303968362198425e+00,7.101645789234795753e-04,5.687303968362198425e+00,1.406829047769011520e-01
5.737192599663622161e+00,6.550119833289192069e-04,5.737192599663622161e+00,1.351269705221298800e-01
5.787081230965044121e+00,6.062359491058036051e-04,5.787081230965044121e+00,1.306447710945461693e-01
5.836969862266466968e+00,5.631532823567840518e-04,5.836969862266466968e+00,1.267913036376245306e-01
5.886858493567888928e+00,5.250775579555241098e-04,5.886858493567888928e+00,1.230727777509171422e-01
5.936747124869312664e+00,4.913269078524527649e-04,5.936747124869312664e+00,1.189658309327430580e-01
5.986635756170735512e+00,4.612306647991801971e-04,5.986635756170735512e+00,1.139784085209773479e-01
6.036524387472158359e+00,4.341358738798664087e-04,6.036524387472158359e+00,1.077523369933605923e-01
6.086413018773580319e+00,4.094155024711103969e-04,6.086413018773580319e+00,1.001752007490308849e-01
6.136301650075004055e+00,3.864804471347794783e-04,6.136301650075004055e+00,9.143963673088757738e-02
6.186190281376426903e+00,3.647969086613972868e-04,6.186190281376426903e+00,8.199894287666568971e-02
6.236078912677848862e+00,3.439091626187645813e-04,6.236078912677848862e+00,7.242861553505930416e-02
6.285967543979271710e+00,3.234652324460409790e-04,6.285967543979271710e+00,6.326466687942983169e-02
6.335856175280695446e+00,3.032400892014377168e-04,6.335856175280695446e+00,5.489362751723004391e-02
6.385744806582117405e+00,2.831490584012772045e-04,6.385744806582117405e+00,4.752143988986589490e-02
6.435633437883540253e+00,2.632446582849919895e-04,6.435633437883540253e+00,4.120101806260574595e-02
6.485522069184963989e+00,2.436938769689264185e-04,6.485522069184963989e+00,3.588296850804433696e-02
6.535410700486385949e+00,2.247388877745324514e-04,6.535410700486385949e+00,3.146362435377051542e-02
6.585299331787808796e+00,2.066497199242602002e-04,6.585299331787808796e+00,2.781973745143995203e-02
